Seed,Algoritmo,Fitness,Tiempo,Evaluaciones
13,ES,11,0.151104,530
13,BMB,14,0.0882645,700
13,ILS,10,0.0196133,200
13,GRASP-SIBL,22,0.101061,10
13,GRASP-NOBL,24,0.101061,10
25,ES,10,0.0294373,100
25,BMB,10,0.0864015,1000
25,ILS,10,0.0211156,200
25,GRASP-SIBL,14,0.10064,10
25,GRASP-NOBL,14,0.10064,10
45,ES,11,0.116249,359
45,BMB,15,0.0951118,500
45,ILS,10,0.0183291,200
45,GRASP-SIBL,24,0.102376,10
45,GRASP-NOBL,26,0.102376,10
65,ES,10,0.0305286,100
65,BMB,11,0.093856,1000
65,ILS,10,0.0189603,200
65,GRASP-SIBL,17,0.103268,10
65,GRASP-NOBL,17,0.103268,10
89,ES,10,0.0308745,100
89,BMB,16,0.0960109,100
89,ILS,10,0.0189955,200
89,GRASP-SIBL,28,0.102494,10
89,GRASP-NOBL,28,0.102494,10
101,ES,11,0.0378354,121
101,BMB,17,0.120241,1000
101,ILS,11,0.0191505,200
101,GRASP-SIBL,22,0.102334,10
101,GRASP-NOBL,21,0.102334,10
123,ES,11,0.0615884,230
123,BMB,13,0.0916258,900
123,ILS,10,0.0186128,200
123,GRASP-SIBL,19,0.101854,10
123,GRASP-NOBL,19,0.101854,10
147,ES,12,0.128469,433
147,BMB,14,0.1018,800
147,ILS,11,0.0202811,200
147,GRASP-SIBL,17,0.0973919,10
147,GRASP-NOBL,17,0.0973919,10
159,ES,10,0.0297711,100
159,BMB,10,0.0847226,1000
159,ILS,10,0.0187684,200
159,GRASP-SIBL,14,0.100376,10
159,GRASP-NOBL,17,0.100376,10
181,ES,11,0.0487801,157
181,BMB,15,0.103477,400
181,ILS,11,0.0204983,214
181,GRASP-SIBL,20,0.101257,10
181,GRASP-NOBL,20,0.101257,10
199,ES,10,0.0302439,100
199,BMB,11,0.092048,1000
199,ILS,10,0.0195022,200
199,GRASP-SIBL,20,0.100907,10
199,GRASP-NOBL,24,0.100907,10
213,ES,10,0.0303606,100
213,BMB,10,0.0863186,1000
213,ILS,10,0.0186873,200
213,GRASP-SIBL,18,0.10136,10
213,GRASP-NOBL,18,0.10136,10
237,ES,10,0.0295262,100
237,BMB,10,0.0853375,1000
237,ILS,10,0.0191233,200
237,GRASP-SIBL,10,0.101474,10
237,GRASP-NOBL,10,0.101474,10
251,ES,10,0.0305681,100
251,BMB,10,0.0854269,1000
251,ILS,10,0.0189412,200
251,GRASP-SIBL,14,0.100289,10
251,GRASP-NOBL,14,0.100289,10
269,ES,12,0.195379,572
269,BMB,12,0.101741,1000
269,ILS,11,0.0192259,200
269,GRASP-SIBL,31,0.103025,10
269,GRASP-NOBL,31,0.103025,10
275,ES,10,0.0308542,100
275,BMB,10,0.0856694,1000
275,ILS,10,0.0194821,200
275,GRASP-SIBL,11,0.102868,10
275,GRASP-NOBL,13,0.102868,10
289,ES,10,0.030645,100
289,BMB,10,0.0849691,1000
289,ILS,10,0.0194196,200
289,GRASP-SIBL,13,0.100178,10
289,GRASP-NOBL,15,0.100178,10
307,ES,14,0.221208,735
307,BMB,10,0.0849648,1000
307,ILS,10,0.019936,200
307,GRASP-SIBL,26,0.101458,10
307,GRASP-NOBL,26,0.101458,10
333,ES,10,0.0298521,100
333,BMB,10,0.0844346,1000
333,ILS,10,0.0191598,200
333,GRASP-SIBL,12,0.101685,10
333,GRASP-NOBL,12,0.101685,10
345,ES,10,0.0292746,100
345,BMB,10,0.0832731,1000
345,ILS,10,0.0190857,200
345,GRASP-SIBL,10,0.100714,10
345,GRASP-NOBL,10,0.100714,10
369,ES,10,0.0300246,100
369,BMB,10,0.0849885,1000
369,ILS,10,0.0183019,200
369,GRASP-SIBL,20,0.0985504,10
369,GRASP-NOBL,20,0.0985504,10
381,ES,12,0.111133,408
381,BMB,13,0.0991169,1000
381,ILS,10,0.0183618,200
381,GRASP-SIBL,22,0.101568,10
381,GRASP-NOBL,22,0.101568,10
399,ES,10,0.0294306,100
399,BMB,10,0.084499,1000
399,ILS,10,0.0193486,200
399,GRASP-SIBL,16,0.102876,10
399,GRASP-NOBL,16,0.102876,10
421,ES,10,0.0301437,100
421,BMB,11,0.0892088,1000
421,ILS,10,0.0191494,200
421,GRASP-SIBL,20,0.0995808,10
421,GRASP-NOBL,20,0.0995808,10
435,ES,10,0.030466,100
435,BMB,12,0.102687,1000
435,ILS,10,0.0188671,200
435,GRASP-SIBL,17,0.103514,10
435,GRASP-NOBL,17,0.103514,10
447,ES,13,0.15222,487
447,BMB,15,0.10577,1000
447,ILS,10,0.0190784,200
447,GRASP-SIBL,19,0.100898,10
447,GRASP-NOBL,19,0.100898,10
459,ES,11,0.0905521,286
459,BMB,13,0.0966992,600
459,ILS,11,0.0194352,200
459,GRASP-SIBL,20,0.0995712,10
459,GRASP-NOBL,19,0.0995712,10
471,ES,11,0.0825609,271
471,BMB,11,0.0928732,1000
471,ILS,11,0.0187278,200
471,GRASP-SIBL,17,0.10207,10
471,GRASP-NOBL,17,0.10207,10
487,ES,13,0.224485,656
487,BMB,14,0.104099,400
487,ILS,11,0.0221439,228
487,GRASP-SIBL,17,0.101812,10
487,GRASP-NOBL,17,0.101812,10
499,ES,10,0.0291397,100
499,BMB,11,0.0876023,700
499,ILS,10,0.0189479,200
499,GRASP-SIBL,18,0.103684,10
499,GRASP-NOBL,18,0.103684,10
